State,District,Latitude,Longitude,Elevation_m,Water_Occurrence_pct,NDVI_2024
Haryana,Sirsa,29.6063041,74.9036568,200.27784197382516,11.7036036036036,0.4694114588513612
Haryana,Sonipat,28.9953758,77.0233627,221.07641951773118,22.238180051813504,0.3847861333300653
Haryana,Yamunanagar,30.1231349,77.286329,276.1755978420135,60.005002610520876,0.401608488844807
Himachal Pradesh,Bilaspur,31.3380959,76.7611631,739.6811859926995,65.79199677053376,0.5632179366534514
Himachal Pradesh,Chamba,32.6923316,76.1631552,2148.3015283695436,8.061538461538461,0.6335754327769885
Himachal Pradesh,Hamirpur,31.6539866,76.5403633,778.6445023726349,3.3260869565217392,0.6411891252978925
Himachal Pradesh,Kangra,32.0768665,76.2985872,725.4253162401683,18.138816738816768,0.6268427581206067
Himachal Pradesh,Kinnaur,31.593013,78.3281417,3054.978919033503,70.51827731882543,0.4041754600029871
Himachal Pradesh,Kullu,31.9578974,77.1089232,1779.4988871313926,70.78816927953393,0.6167243688561731
Himachal Pradesh,Lahaul And Spiti,32.5015861,77.5789891,4582.010298798372,90.78885725036558,0.05120330537362486
Himachal Pradesh,Mandi,31.6516617,77.0092542,1326.8954801452387,44.116730971588815,0.6894095092683221
Himachal Pradesh,Shimla,31.1040393,77.1707923,1864.1177791392915,,0.5778499408739576
Himachal Pradesh,Sirmaur,30.6991321,77.4465304,1423.7608645858475,14.248413417951065,0.5706429928278378
Himachal Pradesh,Solan,30.9077569,77.1023645,1549.571732099614,,0.6163785505837508
Himachal Pradesh,Una,31.5834642,76.2351452,471.39060576081704,14.776162790697676,0.6035081378377943
Jharkhand,Bokaro,23.6991279,85.9910689,278.430920122605,28.608841902931342,0.5267078984605932
Jharkhand,Chatra,24.1062316,84.8623379,470.289229693393,29.28625235404899,0.5319985478102689
Jharkhand,Deoghar,24.4898318,86.6990182,252.0913248331991,38.8140590850853,0.46948663131240326
Jharkhand,Dhanbad,23.7952809,86.4309638,229.74948800608368,32.81782786885225,0.4283273913954625
Jharkhand,Dumka,24.2677937,87.2485495,144.93762013634378,32.95887447252689,0.4886602385693096
Jharkhand,Garhwa,24.053577,83.6526818,348.44175556221006,13.476994282602817,0.5541903961303708
Jharkhand,Giridih,24.3314546,86.1548117,357.37979156446556,38.04100013442652,0.4162421389286988
Jharkhand,Godda,24.8645886,87.2984838,101.02705195485409,26.48176644182124,0.4662674334885879
Jharkhand,Gumla,23.1603759,84.4599565,725.6631321666379,59.09778842919606,0.5229363618376414
Jharkhand,Hazaribagh,24.0866962,85.4912231,573.0818116021591,40.6285283427422,0.48871967199645516
Jharkhand,Jamtara,23.9801639,86.9243637,171.55928629255004,25.436840717299628,0.4869361346972791
Jharkhand,Khunti,22.9281801,85.2814475,583.3853448826038,39.58425720620843,0.5569559089194231
Jharkhand,Koderma,24.4931239,85.5560811,357.96453596052595,28.077382136463132,0.6017407529235347
Jharkhand,Latehar,23.6880057,84.4969551,416.2558712776911,40.8323907956317,0.5028316871519233
Jharkhand,Lohardaga,23.4770044,84.6986684,655.9564848443225,34.896974304393936,0.43640781949326585
