state,year,blood_slides_tested,positive_cases,pf_cases,deaths,is_partial_year,year_clean,flag_positive_gt_tested,flag_pf_gt_positive,slide_positivity_rate,pf_percentage,case_fatality_rate,testing_intensity,positive_cases_lag1,cases_yoy_change_pct,positive_cases_roll2,per_capita_nsdp_rank,population_density_rank,literacy_rate_rank,imr_rank,rural_tele_density_rank,banking_access_rank,latrine_facility_rank,safe_water_rank,forest_cover_rank
Delhi,2024,224373.0,910.0,82.0,0.0,False,2024,False,False,0.4055746457907146,9.010989010989013,0.0,1.653222181779063,344.0,164.53488372093022,303.5,2.0,1.0,5.0,7.0,1.0,25.0,27.0,27.0,8.0
Delhi,2025,328650.0,941.0,118.0,0.0,False,2025,False,False,0.2863228358436026,12.539851222104144,0.0,2.4215545990011687,910.0,3.4065934065934065,627.0,2.0,1.0,5.0,7.0,1.0,25.0,27.0,27.0,8.0
Delhi,2026(upto June),13638.0,46.0,16.0,0.0,True,2026,False,False,0.3372928581903505,34.78260869565217,0.0,0.1004873318763971,,,,2.0,1.0,5.0,7.0,1.0,25.0,27.0,27.0,8.0
Goa,2022,249449.0,587.0,244.0,0.0,False,2022,False,False,0.2353186422876018,41.56729131175469,0.0,0.7605620833965995,,,,1.0,11.0,4.0,1.0,4.0,28.0,23.0,16.0,23.0
Goa,2023,319859.0,1346.0,488.0,0.0,False,2023,False,False,0.4208104195911323,36.2555720653789,0.0,0.9752399385571916,587.0,129.3015332197615,,1.0,11.0,4.0,1.0,4.0,28.0,23.0,16.0,23.0
Goa,2024,406527.0,884.0,286.0,0.0,False,2024,False,False,0.2174517313733159,32.35294117647059,0.0,1.2394879196828583,1346.0,-34.323922734026745,966.5,1.0,11.0,4.0,1.0,4.0,28.0,23.0,16.0,23.0
Goa,2025,457621.0,448.0,104.0,0.0,False,2025,False,False,0.0978976052235365,23.214285714285715,0.0,1.3952719039404256,884.0,-49.321266968325794,1115.0,1.0,11.0,4.0,1.0,4.0,28.0,23.0,16.0,23.0
Goa,2026(upto June),206443.0,148.0,36.0,0.0,True,2026,False,False,0.0716904908376646,24.324324324324326,0.0,0.6294381544229248,,,,1.0,11.0,4.0,1.0,4.0,28.0,23.0,16.0,23.0
Gujarat,2022,15192658.0,4785.0,518.0,0.0,False,2022,False,False,0.0314954763017768,10.825496342737722,0.0,0.9785534867167957,,,,6.0,15.0,13.0,17.0,8.0,15.0,13.0,19.0,5.0
Gujarat,2023,17442857.0,4311.0,662.0,1.0,False,2023,False,False,0.0247149879174036,15.356065877986548,0.0231964741359313,1.1234879726544535,4785.0,-9.905956112852666,,6.0,15.0,13.0,17.0,8.0,15.0,13.0,19.0,5.0
Gujarat,2024,18109327.0,4365.0,698.0,1.0,False,2024,False,False,0.0241036014204172,15.990836197021762,0.0229095074455899,1.166415059033423,4311.0,1.2526096033402925,4548.0,6.0,15.0,13.0,17.0,8.0,15.0,13.0,19.0,5.0
Gujarat,2025,18120556.0,3813.0,789.0,2.0,False,2025,False,False,0.0210424006857184,20.69236821400472,0.0524521374246,1.1671383147732903,4365.0,-12.646048109965635,4338.0,6.0,15.0,13.0,17.0,8.0,15.0,13.0,19.0,5.0
Gujarat,2026(upto June),8762745.0,422.0,30.0,0.0,True,2026,False,False,0.0048158425242318,7.109004739336493,0.0,0.5644051668220378,,,,6.0,15.0,13.0,17.0,8.0,15.0,13.0,19.0,5.0
Haryana,2022,3323816.0,52.0,1.0,0.0,False,2022,False,False,0.0015644668657952,1.9230769230769231,0.0,1.046075899840304,,,,5.0,6.0,16.0,21.0,7.0,20.0,19.0,25.0,2.0
Haryana,2023,3708401.0,85.0,5.0,0.0,False,2023,False,False,0.0022920930072017,5.88235294117647,0.0,1.1671130149935145,52.0,63.46153846153846,,5.0,6.0,16.0,21.0,7.0,20.0,19.0,25.0,2.0
Haryana,2024,3775769.0,522.0,30.0,0.0,False,2024,False,False,0.0138249982983598,5.747126436781609,0.0,1.1883151637347331,85.0,514.1176470588235,68.5,5.0,6.0,16.0,21.0,7.0,20.0,19.0,25.0,2.0
Haryana,2025,3628970.0,515.0,25.0,0.0,False,2025,False,False,0.0141913545716828,4.854368932038835,0.0,1.142114382457834,522.0,-1.3409961685823757,303.5,5.0,6.0,16.0,21.0,7.0,20.0,19.0,25.0,2.0
Haryana,2026(upto June),1450113.0,83.0,7.0,0.0,True,2026,False,False,0.0057236918778053,8.433734939759036,0.0,0.4563815389736143,,,,5.0,6.0,16.0,21.0,7.0,20.0,19.0,25.0,2.0
Himachal Pradesh,2022,226943.0,12.0,2.0,0.0,False,2022,False,False,0.0052876713535998,16.666666666666664,0.0,0.9167799127103264,,,,10.0,24.0,6.0,15.0,2.0,29.0,20.0,24.0,15.0
Himachal Pradesh,2023,274839.0,23.0,0.0,0.0,False,2023,False,False,0.0083685357609364,0.0,0.0,1.1102650199803186,12.0,91.66666666666666,,10.0,24.0,6.0,15.0,2.0,29.0,20.0,24.0,15.0
Himachal Pradesh,2024,281499.0,28.0,2.0,0.0,False,2024,False,False,0.0099467493667828,7.142857142857142,0.0,1.137169371375386,23.0,21.73913043478261,17.5,10.0,24.0,6.0,15.0,2.0,29.0,20.0,24.0,15.0
Himachal Pradesh,2025,303334.0,28.0,4.0,0.0,False,2025,False,False,0.0092307489434089,14.285714285714285,0.0,1.2253760549656707,28.0,0.0,25.5,10.0,24.0,6.0,15.0,2.0,29.0,20.0,24.0,15.0
Himachal Pradesh,2026(upto June),151103.0,3.0,1.0,0.0,True,2026,False,False,0.0019854006869486,33.33333333333333,0.0,0.6104096409682981,,,,10.0,24.0,6.0,15.0,2.0,29.0,20.0,24.0,15.0
Jammu And Kashmir,2022,450767.0,35.0,1.0,0.0,False,2022,False,False,0.0077645435446694,2.857142857142857,0.0,1.1091647633797257,,,,20.0,27.0,24.0,18.0,20.0,22.0,10.0,10.0,7.0
Jammu And Kashmir,2023,485729.0,44.0,14.0,0.0,False,2023,False,False,0.0090585491086593,31.818181818181817,0.0,1.1951928409836363,35.0,25.71428571428571,,20.0,27.0,24.0,18.0,20.0,22.0,10.0,10.0,7.0
Jammu And Kashmir,2024,461482.0,108.0,21.0,0.0,False,2024,False,False,0.0234028629502342,19.444444444444446,0.0,1.1355302702593637,44.0,145.45454545454547,39.5,20.0,27.0,24.0,18.0,20.0,22.0,10.0,10.0,7.0
Jammu And Kashmir,2025,425359.0,127.0,20.0,0.0,False,2025,False,False,0.0298571324457693,15.748031496062993,0.0,1.0466454167817003,108.0,17.59259259259259,76.0,20.0,27.0,24.0,18.0,20.0,22.0,10.0,10.0,7.0
Jammu And Kashmir,2026(upto June),208674.0,28.0,10.0,0.0,True,2026,False,False,0.0134180587902661,35.714285714285715,0.0,0.5134667085955735,,,,20.0,27.0,24.0,18.0,20.0,22.0,10.0,10.0,7.0
Jharkhand,2022,9778246.0,19167.0,14963.0,4.0,False,2022,False,False,0.196016749834275,78.06646840924506,0.020869202274743,1.536952047076515,,,,23.0,9.0,26.0,18.0,28.0,13.0,1.0,5.0,16.0
Jharkhand,2023,5731625.0,34087.0,28990.0,2.0,False,2023,False,False,0.5947179028634986,85.04708539912576,0.0058673394549241,0.9009011203875348,19167.0,77.84212448479157,,23.0,9.0,26.0,18.0,28.0,13.0,1.0,5.0,16.0
Jharkhand,2024,6127645.0,42352.0,35016.0,0.0,False,2024,False,False,0.691162755022525,82.67850396675482,0.0,0.9631478412905722,34087.0,24.24678029747411,26627.0,23.0,9.0,26.0,18.0,28.0,13.0,1.0,5.0,16.0
Jharkhand,2025,6978492.0,42236.0,32761.0,2.0,False,2025,False,False,0.6052310441854774,77.56653092148878,0.0047352969031158,1.0968846115046689,42352.0,-0.2738949754438987,38219.5,23.0,9.0,26.0,18.0,28.0,13.0,1.0,5.0,16.0
Jharkhand,2026(upto June),3194503.0,16727.0,12119.0,5.0,True,2026,False,False,0.5236182279371784,72.45172475638189,0.0298917917139953,0.5021143797407089,,,,23.0,9.0,26.0,18.0,28.0,13.0,1.0,5.0,16.0
Karnataka,2022,11573428.0,289.0,34.0,0.0,False,2022,False,False,0.0024970993900856,11.76470588235294,0.0,0.9268779227349244,,,,14.0,14.0,17.0,11.0,11.0,16.0,10.0,18.0,12.0
Karnataka,2023,13349842.0,275.0,61.0,2.0,False,2023,False,False,0.0020599494735593,22.181818181818183,0.7272727272727273,1.0691450987382,289.0,-4.844290657439446,,14.0,14.0,17.0,11.0,11.0,16.0,10.0,18.0,12.0
Karnataka,2024,14657160.0,740.0,114.0,3.0,False,2024,False,False,0.0050487270385258,15.405405405405409,0.4054054054054054,1.1738439133153484,275.0,169.0909090909091,282.0,14.0,14.0,17.0,11.0,11.0,16.0,10.0,18.0,12.0
Karnataka,2025,15621201.0,694.0,208.0,1.0,False,2025,False,False,0.0044426801754871,29.971181556195965,0.1440922190201729,1.251050797871186,740.0,-6.216216216216217,507.5,14.0,14.0,17.0,11.0,11.0,16.0,10.0,18.0,12.0
Karnataka,2026(upto June),7230690.0,199.0,38.0,0.0,True,2026,False,False,0.0027521578161973,19.09547738693467,0.0,0.5790822673403413,,,,14.0,14.0,17.0,11.0,11.0,16.0,10.0,18.0,12.0
Kerala,2022,2576921.0,439.0,206.0,0.0,False,2022,False,False,0.0170358346258965,46.9248291571754,0.0,0.8862486177949597,,,,8.0,4.0,1.0,3.0,6.0,24.0,29.0,1.0,21.0
Kerala,2023,3076673.0,569.0,301.0,7.0,False,2023,False,False,0.0184940031001019,52.899824253075565,1.2302284710017577,1.0581221518459711,439.0,29.6127562642369,,8.0,4.0,1.0,3.0,6.0,24.0,29.0,1.0,21.0
Kerala,2024,3331487.0,954.0,494.0,6.0,False,2024,False,False,0.0286358614036314,51.78197064989518,0.628930817610063,1.1457571842333842,569.0,67.66256590509666,504.0,8.0,4.0,1.0,3.0,6.0,24.0,29.0,1.0,21.0
Kerala,2025,3762263.0,1144.0,568.0,2.0,False,2025,False,False,0.0304072309671067,49.65034965034965,0.1748251748251748,1.2939086543712897,954.0,19.91614255765199,761.5,8.0,4.0,1.0,3.0,6.0,24.0,29.0,1.0,21.0
Kerala,2026(upto June),1791020.0,457.0,252.0,2.0,True,2026,False,False,0.0255161863072439,55.14223194748359,0.437636761487965,0.6159633917543955,,,,8.0,4.0,1.0,3.0,6.0,24.0,29.0,1.0,21.0
Ladakh,2022,2.0,2.0,0.0,0.0,False,2022,False,False,100.0,0.0,0.0,0.0086655112651646,,,,,,,,,,,,
