state,year,blood_slides_tested,positive_cases,pf_cases,deaths,is_partial_year,year_clean,flag_positive_gt_tested,flag_pf_gt_positive,slide_positivity_rate,pf_percentage,case_fatality_rate,testing_intensity,positive_cases_lag1,cases_yoy_change_pct,positive_cases_roll2
Gujarat,2022,15192658.0,4785.0,518.0,0.0,False,2022,False,False,0.03149547630177682,10.825496342737722,0.0,0.9785534867167955,,,
Gujarat,2023,17442857.0,4311.0,662.0,1.0,False,2023,False,False,0.024714987917403668,15.356065877986547,0.023196474135931337,1.1234879726544535,4785.0,-9.905956112852666,
Gujarat,2024,18109327.0,4365.0,698.0,1.0,False,2024,False,False,0.024103601420417224,15.990836197021762,0.022909507445589918,1.166415059033423,4311.0,1.2526096033402923,4548.0
Gujarat,2025,18120556.0,3813.0,789.0,2.0,False,2025,False,False,0.021042400685718474,20.69236821400472,0.05245213742460005,1.1671383147732903,4365.0,-12.646048109965635,4338.0
Gujarat,2026(upto June),8762745.0,422.0,30.0,0.0,True,2026,False,False,0.004815842524231847,7.109004739336493,0.0,0.5644051668220378,,,
Haryana,2022,3323816.0,52.0,1.0,0.0,False,2022,False,False,0.0015644668657952188,1.9230769230769231,0.0,1.0460758998403041,,,
Haryana,2023,3708401.0,85.0,5.0,0.0,False,2023,False,False,0.002292093007201756,5.88235294117647,0.0,1.1671130149935145,52.0,63.46153846153846,
Haryana,2024,3775769.0,522.0,30.0,0.0,False,2024,False,False,0.013824998298359883,5.747126436781609,0.0,1.1883151637347331,85.0,514.1176470588235,68.5
Haryana,2025,3628970.0,515.0,25.0,0.0,False,2025,False,False,0.014191354571682874,4.854368932038835,0.0,1.1421143824578341,522.0,-1.3409961685823755,303.5
Haryana,2026(upto June),1450113.0,83.0,7.0,0.0,True,2026,False,False,0.005723691877805384,8.433734939759036,0.0,0.45638153897361433,,,
Himachal Pradesh,2022,226943.0,12.0,2.0,0.0,False,2022,False,False,0.005287671353599803,16.666666666666664,0.0,0.9167799127103265,,,
Himachal Pradesh,2023,274839.0,23.0,0.0,0.0,False,2023,False,False,0.008368535760936404,0.0,0.0,1.1102650199803186,12.0,91.66666666666666,
Himachal Pradesh,2024,281499.0,28.0,2.0,0.0,False,2024,False,False,0.009946749366782831,7.142857142857142,0.0,1.1371693713753859,23.0,21.73913043478261,17.5
Himachal Pradesh,2025,303334.0,28.0,4.0,0.0,False,2025,False,False,0.009230748943408916,14.285714285714285,0.0,1.2253760549656707,28.0,0.0,25.5
